date,max_dew,mean_dew,min_dew
2000-06-30,273.14536460583145,270.2741110597895,266.51624700159044
2000-07-31,277.75662001527076,275.63490710324055,273.36448850300656
2000-08-31,276.1148589172683,273.6433629233428,270.77547416740197
2000-09-30,269.95182799350107,266.7808440981595,262.96709598651336
2000-10-31,263.1682047638901,259.41286168202845,254.85441484951227
2000-11-30,256.6857831109763,253.0906922677464,248.2780208753165
2000-12-31,251.38222591396524,247.38978880792894,242.50425071554534
2001-01-31,249.40177308690787,245.38554585719785,240.56473898072153
2001-02-28,253.04051312298287,249.24731193460482,244.304901001447
2001-03-31,254.9871212548392,250.23854222954188,244.06802628989337
2001-04-30,263.19211102177485,259.3900165242574,253.68880380821483
2001-05-31,267.5892470155449,263.82585785581125,258.8092525028426
2001-06-30,273.44516500976323,270.5804715324264,267.0740168355509
2001-07-31,277.2812340601244,274.91911962399166,272.38056488765795
2001-08-31,275.42921022145623,272.76082113438775,269.6990869456027
2001-09-30,269.0070594797684,265.7378202687511,261.6376024822023
2001-10-31,262.33038796305993,258.7303669070828,254.182894547351
2001-11-30,255.03753339845582,250.55180815080448,245.71433751854323
2001-12-31,252.7548141792235,249.4750087859911,245.01805349691324
2002-01-31,248.81788870651843,244.9933882901453,240.7289267642848
2002-02-28,253.05700762007652,249.73458228444468,245.31021199079564
2002-03-31,256.81921615266367,252.7742089266722,247.68465470716387
2002-04-30,263.20544737961256,259.5408257684609,254.2146293228146
2002-05-31,267.393259292809,263.6858411116145,258.3751681527694
2002-06-30,271.7630787596217,268.55526107976885,263.99135444435984
2002-07-31,275.3305965026552,272.6281790759331,269.3863824260255
2002-08-31,277.4705611777923,275.2494642181774,272.8752317098389
2002-09-30,269.91599937157093,266.92519153504753,263.10975713065267
2002-10-31,264.02000962900945,261.0531960383495,257.37537477685606
2002-11-30,257.1924418719401,253.59924697383227,249.1734949484301
2002-12-31,253.92959119903287,250.68213353338496,246.5658356573659
2003-01-31,252.4759794833334,248.51313144581516,243.81996973880612
2003-02-28,253.87735322145232,250.97374576365095,247.03524379631412
2003-03-31,257.34670654181883,253.7411653408715,248.64002111640247
2003-04-30,262.9979464103078,259.27889665712115,254.1549931917019
2003-05-31,264.44465027477986,260.67102107777305,255.1791427441303
2003-06-30,270.9340664505278,267.4682518215327,262.63193371168165
2003-07-31,275.7722069987073,272.9189223263407,269.6412891649875
2003-08-31,275.9313407882922,273.52511394540545,270.8174397274506
2003-09-30,271.85339994966756,268.9956137868838,265.48832803761604
2003-10-31,260.6066001152851,256.3874084506862,251.43783602149603
2003-11-30,253.94312521580426,250.15525562782753,245.5846186854357
2003-12-31,253.3226260908996,249.91982383053747,245.47609894941192
2004-01-31,252.61521555574757,249.67867174809612,245.6535359179384
2004-02-29,252.03144338566935,248.43091467624035,243.98929257219
2004-03-31,259.3626343252605,255.38095994021305,250.5360700635015
2004-04-30,264.10304238086474,260.27432731991377,254.61995073192293
2004-05-31,266.25574285299336,262.2164793873511,256.65213934438526
2004-06-30,271.20454189476044,268.0933322942891,263.900034798977
2004-07-31,274.7523161866313,271.99963724419206,268.750570017061
2004-08-31,274.9508647926343,272.1836809966833,269.1141421454001
2004-09-30,269.8639141969218,266.6306539523244,262.87511186325526
2004-10-31,261.1335869157512,257.0300687958936,251.33203867676036
2004-11-30,256.49967580171835,252.119633369619,246.74703316943658
2004-12-31,254.86942404289584,251.360974142728,246.9592388347344
2005-01-31,250.6455681798924,247.62196057773681,243.47255547835988
2005-02-28,254.33449972630254,251.82117716215708,248.41990418534064
2005-03-31,260.05288137835026,256.52941128880104,251.6708029879495
2005-04-30,260.68874581513217,256.60492788125646,250.96786355518321
2005-05-31,266.4914052272153,263.5621637674853,258.94465998613987
2005-06-30,271.4124856450117,267.95045743541004,262.91617096426404
2005-07-31,276.4683070865127,274.08211690873026,271.1988075731674
2005-08-31,274.83996749648446,272.0927205153951,268.9474739856828
2005-09-30,271.4628816807554,268.5219162418674,265.15895877781605
2005-10-31,261.2114734818911,257.3693501740612,252.74915960977782
2005-11-30,255.22851114361205,251.32181101399667,246.44101521567262
2005-12-31,250.63696157219286,246.21938258171747,241.11189426544865
2006-01-31,252.57279203140962,249.9336271480276,246.25935133579657
